names,word,n,total,tf,idf,tf_idf
Article 2,change,6,931,0.012474012474012475,0,0
Article 2,environmental,6,931,0.012474012474012475,0.9162907318741551,0.01142982201922023
Article 2,ida,6,931,0.012474012474012475,2.302585092994046,0.028722475172482904
Article 2,people,6,931,0.012474012474012475,0.5108256237659907,0.006372045202902171
Article 2,shannon,6,931,0.012474012474012475,2.302585092994046,0.028722475172482904
Article 3,smoke,6,835,0.014669926650366748,1.6094379124341003,0.02361033612372763
Article 4,communities,6,634,0.020134228187919462,1.6094379124341003,0.032404790183236915
Article 5,health,6,759,0.015037593984962405,0.9162907318741551,0.013778807998107595
Article 6,rise,6,850,0.015584415584415584,0.5108256237659907,0.007960918811937518
Article 8,almond,6,1046,0.011650485436893204,2.302585092994046,0.026826234093134515
Article 8,california,6,1046,0.011650485436893204,0.6931471805599453,0.008075501132737226
Article 8,climate,6,1046,0.011650485436893204,0,0
Article 9,cleaner,6,897,0.012658227848101266,2.302585092994046,0.029146646746760076
Article 9,vehicles,6,897,0.012658227848101266,1.2039728043259361,0.01524016208007514
Article 1,emissions,5,760,0.0125,0.6931471805599453,0.008664339756999316
Article 10,21,5,1234,0.00741839762611276,2.302585092994046,0.017081491787789657
Article 10,envisioned,5,1234,0.00741839762611276,2.302585092994046,0.017081491787789657
Article 10,gases,5,1234,0.00741839762611276,0.6931471805599453,0.00514204139881265
Article 10,inger,5,1234,0.00741839762611276,2.302585092994046,0.017081491787789657
Article 10,quality,5,1234,0.00741839762611276,1.2039728043259361,0.008931548993515847
Article 10,river's,5,1234,0.00741839762611276,2.302585092994046,0.017081491787789657
Article 10,street,5,1234,0.00741839762611276,2.302585092994046,0.017081491787789657
Article 10,times,5,1234,0.00741839762611276,0.5108256237659907,0.0037895075947031952
Article 2,lynn,5,931,0.010395010395010396,2.302585092994046,0.023935395977069087
Article 2,releaf,5,931,0.010395010395010396,2.302585092994046,0.023935395977069087
Article 2,richmond,5,931,0.010395010395010396,0.9162907318741551,0.009524851682683525
Article 2,southside,5,931,0.010395010395010396,2.302585092994046,0.023935395977069087
Article 2,storm,5,931,0.010395010395010396,1.6094379124341003,0.016730123829876303
Article 3,climate,5,835,0.012224938875305624,0,0
Article 3,fires,5,835,0.012224938875305624,0.9162907318741551,0.011201598189170601
Article 3,warming,5,835,0.012224938875305624,0.9162907318741551,0.011201598189170601
Article 5,patients,5,759,0.012531328320802004,2.302585092994046,0.028854449786892805
Article 6,economic,5,850,0.012987012987012988,1.6094379124341003,0.02090179107057273
Article 6,effects,5,850,0.012987012987012988,0.5108256237659907,0.006634099009947932
Article 7,change,5,921,0.013089005235602094,0,0
Article 8,drought,5,1046,0.009708737864077669,0.9162907318741551,0.008896026523050049
Article 8,food,5,1046,0.009708737864077669,2.302585092994046,0.022355195077612095
Article 8,trees,5,1046,0.009708737864077669,1.2039728043259361,0.01168905635267899
Article 9,carbon,5,897,0.010548523206751054,0.22314355131420976,0.0023538349294747866
Article 9,funds,5,897,0.010548523206751054,2.302585092994046,0.02428887228896673
Article 9,gas,5,897,0.010548523206751054,1.2039728043259361,0.012700135066729283
Article 9,greenhouse,5,897,0.010548523206751054,0.5108256237659907,0.005388455946898636
Article 9,steps,5,897,0.010548523206751054,1.6094379124341003,0.016977193169136078
Article 1,individuals,4,760,0.01,1.2039728043259361,0.012039728043259361
Article 10,affect,4,1234,0.005934718100890208,1.2039728043259361,0.0071452391948126776
Article 10,carbon,4,1234,0.005934718100890208,0.22314355131420976,0.0013242940730813636
Article 10,daniel,4,1234,0.005934718100890208,2.302585092994046,0.013665193430231726
Article 10,designed,4,1234,0.005934718100890208,1.6094379124341003,0.009551560311181604
Article 10,dispatch,4,1234,0.005934718100890208,1.2039728043259361,0.0071452391948126776
Article 10,min,4,1234,0.005934718100890208,2.302585092994046,0.013665193430231726
Article 10,researchers,4,1234,0.005934718100890208,1.2039728043259361,0.0071452391948126776
Article 10,river,4,1234,0.005934718100890208,2.302585092994046,0.013665193430231726
Article 10,sangjib,4,1234,0.005934718100890208,2.302585092994046,0.013665193430231726
Article 10,science,4,1234,0.005934718100890208,0.6931471805599453,0.004113633119050121
Article 10,space,4,1234,0.005934718100890208,2.302585092994046,0.013665193430231726
Article 10,university,4,1234,0.005934718100890208,0.5108256237659907,0.0030316060757625564
Article 10,university's,4,1234,0.005934718100890208,1.6094379124341003,0.009551560311181604
Article 2,aftermath,4,931,0.008316008316008316,2.302585092994046,0.019148316781655267
Article 2,gerald,4,931,0.008316008316008316,2.302585092994046,0.019148316781655267
Article 2,hampton,4,931,0.008316008316008316,1.6094379124341003,0.013384099063901042
Article 2,herbert,4,931,0.008316008316008316,2.302585092994046,0.019148316781655267
Article 2,la,4,931,0.008316008316008316,2.302585092994046,0.019148316781655267
Article 2,laplace,4,931,0.008316008316008316,2.302585092994046,0.019148316781655267
Article 2,monday,4,931,0.008316008316008316,1.2039728043259361,0.010012247853022339
Article 2,roads,4,931,0.008316008316008316,1.6094379124341003,0.013384099063901042
Article 3,air,4,835,0.009779951100244499,1.2039728043259361,0.011774795152331893
Article 3,canada's,4,835,0.009779951100244499,2.302585092994046,0.0225191696136337
Article 3,change,4,835,0.009779951100244499,0,0
Article 3,global,4,835,0.009779951100244499,0.5108256237659907,0.004995849621183284
Article 3,tax,4,835,0.009779951100244499,1.6094379124341003,0.01574022408248509
Article 3,times,4,835,0.009779951100244499,0.5108256237659907,0.004995849621183284
Article 3,united,4,835,0.009779951100244499,0.6931471805599453,0.006778945531148609
Article 4,change,4,634,0.013422818791946308,0,0
Article 4,fund,4,634,0.013422818791946308,2.302585092994046,0.030907182456295916
Article 5,air,4,759,0.010025062656641603,1.2039728043259361,0.01206990280026001
Article 5,boston,4,759,0.010025062656641603,1.6094379124341003,0.016134715914126317
Article 5,dr,4,759,0.010025062656641603,2.302585092994046,0.023083559829514242
Article 5,heat,4,759,0.010025062656641603,0.6931471805599453,0.006948843915387922
Article 5,hospital,4,759,0.010025062656641603,1.6094379124341003,0.016134715914126317
Article 7,pandemic,4,921,0.010471204188481676,0.6931471805599453,0.0072580856603135634
Article 7,people,4,921,0.010471204188481676,0.5108256237659907,0.005348959411162207
Article 8,acre,4,1046,0.007766990291262136,1.6094379124341003,0.012500488640264856
Article 8,cameron,4,1046,0.007766990291262136,2.302585092994046,0.017884156062089675
Article 8,farmers,4,1046,0.007766990291262136,1.6094379124341003,0.012500488640264856
Article 8,farming,4,1046,0.007766990291262136,2.302585092994046,0.017884156062089675
Article 8,solar,4,1046,0.007766990291262136,2.302585092994046,0.017884156062089675
Article 9,administration,4,897,0.008438818565400843,1.2039728043259361,0.010160108053383425
Article 9,avoid,4,897,0.008438818565400843,1.6094379124341003,0.013581754535308861
