"chicagoDH","word","n","total","tf","idf","tf_idf"
"c10","climate",31,1031,0.0300678952473327,0,0
"c7","change",13,718,0.0181058495821727,0,0
"c1","birds",12,805,0.0149068322981366,1.6094379124341,0.0239916210549183
"c8","levels",12,775,0.0154838709677419,1.20397280432594,0.0186421595508532
"c10","crisis",11,1031,0.0106692531522793,0.916290731874155,0.00977613777945267
"c6","warming",11,1423,0.00773014757554462,0.22314355131421,0.00172493258218996
"c8","lakes",11,775,0.0141935483870968,2.30258509299405,0.0326818529328187
"c9","countries",10,564,0.0177304964539007,1.20397280432594,0.0213470355376939
"c4","deaths",9,272,0.0330882352941176,0.693147180559945,0.0229350170038217
"c4","heat",9,272,0.0330882352941176,0.510825623765991,0.0169023184334335
"c5","children",9,834,0.0107913669064748,1.6094379124341,0.0173680350262673
"c6","global",9,1423,0.00632466619817287,0.105360515657826,0.000666370092003118
"c8","lake",9,775,0.0116129032258065,1.6094379124341,0.0186902467250412
"c8","water",9,775,0.0116129032258065,0.693147180559945,0.00804945112908324
"c10","americans",8,1031,0.00775945683802134,1.6094379124341,0.0124883640150076
"c9","report",8,564,0.0141843971631206,1.20397280432594,0.0170776284301551
"c1","species",7,805,0.00869565217391304,1.6094379124341,0.0139951122820357
"c10","humans",7,1031,0.00678952473326867,1.6094379124341,0.0109273185131316
"c5","health",7,834,0.00839328537170264,0.916290731874155,0.00769068959606605
"c5","talk",7,834,0.00839328537170264,1.20397280432594,0.0101052873264767
"c6","world",7,1423,0.00491918482080112,0.693147180559945,0.00340971908919158
"c9","poor",7,564,0.0124113475177305,1.6094379124341,0.0199752932394303
"c1","chicago",6,805,0.00745341614906832,1.6094379124341,0.0119958105274591
"c1","region",6,805,0.00745341614906832,0.916290731874155,0.00682949613819246
"c1","stotz",6,805,0.00745341614906832,2.30258509299405,0.0171621249167258
"c10","people",6,1031,0.005819592628516,0.105360515657826,0.000613155280258931
"c5","discuss",6,834,0.00719424460431655,2.30258509299405,0.0165653603812521
"c6","eyes",6,1423,0.00421644413211525,2.30258509299405,0.00970872140405079
"c6","kids",6,1423,0.00421644413211525,1.6094379124341,0.00678610504188658
"c6","scientific",6,1423,0.00421644413211525,1.6094379124341,0.00678610504188658
"c10","action",5,1031,0.00484966052376334,1.6094379124341,0.00780522750937973
"c10","republicans",5,1031,0.00484966052376334,1.6094379124341,0.00780522750937973
"c10","scientists",5,1031,0.00484966052376334,0.510825623765991,0.00247733086210471
"c2","events",5,899,0.00556173526140156,1.20397280432594,0.00669617799958808
"c2","human",5,899,0.00556173526140156,0.510825623765991,0.00284107688412676
"c2","research",5,899,0.00556173526140156,0.693147180559945,0.00385510111546132
"c5","affects",5,834,0.00599520383693046,1.6094379124341,0.00964890834792626
"c5","air",5,834,0.00599520383693046,1.6094379124341,0.00964890834792626
"c5","families",5,834,0.00599520383693046,2.30258509299405,0.0138044669843768
"c6","celebrities",5,1423,0.00351370344342937,2.30258509299405,0.00809060117004233
"c6","clean",5,1423,0.00351370344342937,1.6094379124341,0.00565508753490548
"c6","opinions",5,1423,0.00351370344342937,2.30258509299405,0.00809060117004233
"c6","science",5,1423,0.00351370344342937,0.916290731874155,0.00321957389976864
"c7","growing",5,718,0.00696378830083565,0.693147180559945,0.00482693022674057
"c7","impact",5,718,0.00696378830083565,0.356674943938732,0.00248380880180176
"c7","political",5,718,0.00696378830083565,1.6094379124341,0.0112077849055299
"c7","weather",5,718,0.00696378830083565,0.356674943938732,0.00248380880180176
"c8","fish",5,775,0.00645161290322581,2.30258509299405,0.0148553876967358
"c1","bird",4,805,0.00496894409937888,1.6094379124341,0.00799720701830609
"c10","cbs",4,1031,0.00387972841901067,2.30258509299405,0.00893340482247932
"c10","major",4,1031,0.00387972841901067,0.916290731874155,0.00355495919252824
"c10","poll",4,1031,0.00387972841901067,2.30258509299405,0.00893340482247932
